Collection,Operation,Consumption
synchronizedUnifiedSet(Eclipse Collections),remove(key),36.52
hashSet,add(value),17.61
hashSet,iterator,1.68
hashSet,remove(key),16.83
linkedHashSet,add(value),76
linkedHashSet,iterator,0.89
linkedHashSet,remove(key),36.6
treeSet,add(value),58.19
treeSet,iterator,1.43
treeSet,remove(key),37.86
unifiedSet(Eclipse Collections),add(value),16.3
unifiedSet(Eclipse Collections),iterator,1.88
unifiedSet(Eclipse Collections),remove(key),19.21
treeSortedSet(Eclipse Collections),add(value),58.63
treeSortedSet(Eclipse Collections),iterator,1.38
treeSortedSet(Eclipse Collections),remove(key),18.63
copyOnWriteArraySet,add(value),1801
copyOnWriteArraySet,iterator,176
copyOnWriteArraySet,remove(key),1077
linkedHashMap,put(key;value),1801
linkedHashMap,iterator,176
linkedHashMap,remove(key),1077
hashtable,put(key;value),1801
hashtable,iterator,176
hashtable,remove(key),1077
hashedMap(ApacheCommonsCollections),put(key;value),1801
hashedMap(ApacheCommonsCollections),iterator,176
hashedMap(ApacheCommonsCollections),remove(key),1077
linkedHashMap,put(key;value),1801
linkedHashMap,iterator,176
linkedHashMap,remove(key),1077
synchronizedLinkedHashMap,put(key;value),1801
synchronizedLinkedHashMap,iterator,176
synchronizedLinkedHashMap,remove(key),1077
synchronizedUnifiedMap(EclipseCollections),put(key;value),1801
synchronizedUnifiedMap(EclipseCollections),iterator,176
synchronizedUnifiedMap(EclipseCollections),remove(key),1077
synchronizedTreeMap,put(key;value),1801
synchronizedTreeMap,iterator,176
synchronizedTreeMap,remove(key),1077
concurrentSkipListMap,put(key;value),1801
concurrentSkipListMap,iterator,176
concurrentSkipListMap,remove(key),1077
synchronizedHashMap,put(key;value),1801
synchronizedHashMap,iterator,176
synchronizedHashMap,remove(key),1077
concurrentHashMapV8,put(key;value),19.23
concurrentHashMapV8,iterator,2.13
concurrentHashMapV8,remove(key),11.01
concurrentHashMap,put(key;value),20
concurrentHashMap,iterator,2.2
concurrentHashMap,remove(key),10.77
synchronizedHashMap,put(key;value),30.19
synchronizedHashMap,iterator,6.61
synchronizedHashMap,remove(key),28.45
synchronizedTreeMap,put(key;value),33.92
synchronizedTreeMap,iterator,18.74
synchronizedTreeMap,remove(key),31.69
concurrentHashMap(EclipseCollections),put(key;value),40.22
concurrentHashMap(EclipseCollections),iterator,1.76
concurrentHashMap(EclipseCollections),remove(key),33.21
staticBucketMap(ApacheCommonsCollections),put(key;value),18.01
staticBucketMap(ApacheCommonsCollections),iterator,3.53
staticBucketMap(ApacheCommonsCollections),remove(key),14.57
hashMap,put(key;value),18.83
hashMap,iterator,1.87
hashMap,remove(key),16.25
linkedHashMap,put(key;value),22.2
linkedHashMap,iterator,2.93
linkedHashMap,remove(key),12.99
treeMap,put(key;value),23.47
treeMap,iterator,8.28
treeMap,remove(key),15.95
unifiedMap(EclipseCollections),put(key;value),25.55
unifiedMap(EclipseCollections),iterator,2.43
unifiedMap(EclipseCollections),remove(key),16.7
